,crystal_name,RealCrystalName,smiles,new_smiles,alternate_name,site_name,pdb_entry
0,D68EV3CPROA-x0102_0B,D68EV3CPROA-x0102,Cc1ccsc1C(=O)O,Cc1ccsc1C(=O)O,Z104474228,5 - Random locations,None
1,D68EV3CPROA-x0102_1B,D68EV3CPROA-x0102,Cc1ccsc1C(=O)O,Cc1ccsc1C(=O)O,Z104474228,2 - R-19 & Y-48 pocket (Chain B only),None
2,D68EV3CPROA-x0105_0A,D68EV3CPROA-x0105,COc1cc(cc(OC)c1OC)C(=O)O,COc1cc(cc(OC)c1OC)C(=O)O,Z104475702,5 - Random locations,None
3,D68EV3CPROA-x0117_0A,D68EV3CPROA-x0117,O=S(=O)(NC1CCCC1)C2CCOCC2,O=S(=O)(NC1CCCC1)C2CCOCC2,Z1082839290,5 - Random locations,None
4,D68EV3CPROA-x0118_0A,D68EV3CPROA-x0118,CCC(=O)Nc1c(oc2ccccc12)C(=O)N,CCC(=O)Nc1c(oc2ccccc12)C(=O)N,Z108545814,2 - R-19 & Y-48 pocket (Chain B only),None
5,D68EV3CPROA-x0128_0A,D68EV3CPROA-x0128,CC(=O)Nc1cnccc1C,CC(=O)Nc1cnccc1C,Z1129283193,3 - NCS packing interface,None
6,D68EV3CPROA-x0130_0A,D68EV3CPROA-x0130,CCNCc1cccc2[nH]ccc12,CCNCc1cccc2[nH]ccc12,Z1137725943,2 - R-19 & Y-48 pocket (Chain B only),None
7,D68EV3CPROA-x0133_0A,D68EV3CPROA-x0133,Cc1ccc(CS(=O)(=O)N)cc1F,Cc1ccc(CS(=O)(=O)N)cc1F,Z1143279263,4 - C60 both locations,None
8,D68EV3CPROA-x0133_0B,D68EV3CPROA-x0133,Cc1ccc(CS(=O)(=O)N)cc1F,Cc1ccc(CS(=O)(=O)N)cc1F,Z1143279263,4 - C60 both locations,None
9,D68EV3CPROA-x0147_0A,D68EV3CPROA-x0147,c1nnc2cnccn12,c1nnc2cnccn12,Z1182328459,4 - C60 both locations,None
10,D68EV3CPROA-x0153_0B,D68EV3CPROA-x0153,CCn1ccc(CNC)n1,CCn1ccc(CNC)n1,Z1198162455,1 - Chain A Catalytic Site C147,None
11,D68EV3CPROA-x0157_0B,D68EV3CPROA-x0157,Oc1cc(O)n2ccnc2n1,Oc1cc(O)n2ccnc2n1,Z1198233191,3 - NCS packing interface,None
12,D68EV3CPROA-x0157_1B,D68EV3CPROA-x0157,Oc1cc(O)n2ccnc2n1,Oc1cc(O)n2ccnc2n1,Z1198233191,3 - NCS packing interface,None
13,D68EV3CPROA-x0170_0A,D68EV3CPROA-x0170,N#Cc1cncc2OCCNc12,N#Cc1cncc2OCCNc12,Z1201628402,2 - R-19 & Y-48 pocket (Chain B only),None
14,D68EV3CPROA-x0174_0A,D68EV3CPROA-x0174,CN(C(=O)C)c1cccnc1,CN(C(=O)C)c1cccnc1,Z1203252645,3 - NCS packing interface,None
15,D68EV3CPROA-x0176_0A,D68EV3CPROA-x0176,NCc1ccn2ccnc2c1,NCc1ccn2ccnc2c1,Z1203586731,5 - Random locations,None
16,D68EV3CPROA-x0188_0B,D68EV3CPROA-x0188,CC(=O)NCCc1c[nH]c2ccc(F)cc12,CC(=O)NCCc1c[nH]c2ccc(F)cc12,Z1220452176,3 - NCS packing interface,None
17,D68EV3CPROA-x0191_0A,D68EV3CPROA-x0191,OC(=O)c1ccnn1C2CCOCC2,OC(=O)c1ccnn1C2CCOCC2,Z1230013388,2 - R-19 & Y-48 pocket (Chain B only),None
18,D68EV3CPROA-x0228_0A,D68EV3CPROA-x0228,Cl.O=C(N1CCCC1)c2cn[nH]c2,Cl.O=C(N1CCCC1)c2cn[nH]c2,Z1266933824,5 - Random locations,None
19,D68EV3CPROA-x0232_0B,D68EV3CPROA-x0232,NS(=O)(=O)c1ccc2ncsc2c1,NS(=O)(=O)c1ccc2ncsc2c1,Z1269184613,4 - C60 both locations,None
20,D68EV3CPROA-x0232_1B,D68EV3CPROA-x0232,NS(=O)(=O)c1ccc2ncsc2c1,NS(=O)(=O)c1ccc2ncsc2c1,Z1269184613,4 - C60 both locations,None
21,D68EV3CPROA-x0243_0B,D68EV3CPROA-x0243,Cc1cc(F)cc(c1)S(=O)(=O)N,Cc1cc(F)cc(c1)S(=O)(=O)N,Z1295863442,6 - Chain B Catalytic site,None
22,D68EV3CPROA-x0253_0B,D68EV3CPROA-x0253,CCC(CC)C(=O)Nc1ccccc1O,CCC(CC)C(=O)Nc1ccccc1O,Z1331830630,3 - NCS packing interface,None
23,D68EV3CPROA-x0688_0B,D68EV3CPROA-x0688,OC1CN(C1)C(c2ccccc2)c3ccccc3,OC1CN(C1)C(c2ccccc2)c3ccccc3,Z1342868616,2 - R-19 & Y-48 pocket (Chain B only),None
24,D68EV3CPROA-x0695_0B,D68EV3CPROA-x0695,CC(=O)N1CCN(CCCc2ccccc2)CC1,CC(=O)N1CCN(CCCc2ccccc2)CC1,Z137811222,2 - R-19 & Y-48 pocket (Chain B only),None
25,D68EV3CPROA-x0698_0B,D68EV3CPROA-x0698,Cl.CC(N)c1nc(Cc2ccccc2)no1,Cl.CC(N)c1nc(Cc2ccccc2)no1,Z1398461996,2 - R-19 & Y-48 pocket (Chain B only),None
26,D68EV3CPROA-x0708_0B,D68EV3CPROA-x0708,CC1OCCN(C1C)c2nc(C)ns2,CC1OCCN(C1C)c2nc(C)ns2,Z1439422127,2 - R-19 & Y-48 pocket (Chain B only),None
27,D68EV3CPROA-x0712_0A,D68EV3CPROA-x0712,Cl.O=C(NC1CCCNC1)c2ccccc2,Cl.O=C(NC1CCCNC1)c2ccccc2,Z1456069604,3 - NCS packing interface,None
28,D68EV3CPROA-x0717_0A,D68EV3CPROA-x0717,OC(=O)COCc1ccccc1,OC(=O)COCc1ccccc1,Z147646786,4 - C60 both locations,None
29,D68EV3CPROA-x0765_0A,D68EV3CPROA-x0765,Cn1ccnc1c2noc(n2)C3CCC3,Cn1ccnc1c2noc(n2)C3CCC3,Z1685106505,2 - R-19 & Y-48 pocket (Chain B only),None
30,D68EV3CPROA-x0771_0A,D68EV3CPROA-x0771,Cl.NC(=O)c1ccc2NCCc2c1,Cl.NC(=O)c1ccc2NCCc2c1,Z1696091761,3 - NCS packing interface,None
31,D68EV3CPROA-x0771_1A,D68EV3CPROA-x0771,Cl.NC(=O)c1ccc2NCCc2c1,Cl.NC(=O)c1ccc2NCCc2c1,Z1696091761,1 - Chain A Catalytic Site C147,None
32,D68EV3CPROA-x0784_0A,D68EV3CPROA-x0784,COC1CN(Cc2cncs2)CCC1C,COC1CN(Cc2cncs2)CCC1C,Z1787761777,3 - NCS packing interface,None
33,D68EV3CPROA-x0789_0A,D68EV3CPROA-x0789,CC1CCOC1C(=O)Nc2cnns2,CC1CCOC1C(=O)Nc2cnns2,Z1827602749,4 - C60 both locations,None
34,D68EV3CPROA-x0818_0B,D68EV3CPROA-x0818,CN(C)C(=O)COc1cccc(F)c1,CN(C)C(=O)COc1cccc(F)c1,Z19755216,1 - Chain A Catalytic Site C147,None
35,D68EV3CPROA-x0819_0B,D68EV3CPROA-x0819,Cc1cc(nc(CO)n1)N2CCCCC2,Cc1cc(nc(CO)n1)N2CCCCC2,Z1980894300,2 - R-19 & Y-48 pocket (Chain B only),None
36,D68EV3CPROA-x0832_0B,D68EV3CPROA-x0832,CN(CC(=O)N)c1snc(C)c1C#N,CN(CC(=O)N)c1snc(C)c1C#N,Z2033637875,3 - NCS packing interface,None
37,D68EV3CPROA-x0853_0A,D68EV3CPROA-x0853,CC(NC(=O)C1CC1)c2cccnc2,CC(NC(=O)C1CC1)c2cccnc2,Z220996120,3 - NCS packing interface,None
38,D68EV3CPROA-x0865_0A,D68EV3CPROA-x0865,CC1CN(CC(=O)N1)c2ncccc2F,CC1CN(CC(=O)N1)c2ncccc2F,Z2273972081,5 - Random locations,None
39,D68EV3CPROA-x0878_0A,D68EV3CPROA-x0878,Cl.COc1ccc(C)cc1NC(=O)CN,Cl.COc1ccc(C)cc1NC(=O)CN,Z235341991,3 - NCS packing interface,None
40,D68EV3CPROA-x0878_0B,D68EV3CPROA-x0878,Cl.COc1ccc(C)cc1NC(=O)CN,Cl.COc1ccc(C)cc1NC(=O)CN,Z235341991,5 - Random locations,None
41,D68EV3CPROA-x0878_1A,D68EV3CPROA-x0878,Cl.COc1ccc(C)cc1NC(=O)CN,Cl.COc1ccc(C)cc1NC(=O)CN,Z235341991,2 - R-19 & Y-48 pocket (Chain B only),None
42,D68EV3CPROA-x0881_0B,D68EV3CPROA-x0881,OCc1ccc(cc1)n2cnc3ccccc23,OCc1ccc(cc1)n2cnc3ccccc23,Z235449082,4 - C60 both locations,None
43,D68EV3CPROA-x0916_0B,D68EV3CPROA-x0916,CCCC(=O)NCc1nc2ccccc2[nH]1,CCCC(=O)NCc1nc2ccccc2[nH]1,Z26781952,3 - NCS packing interface,None
44,D68EV3CPROA-x0920_0A,D68EV3CPROA-x0920,Cl.CNCc1cnn(c1)c2ccccc2,Cl.CNCc1cnn(c1)c2ccccc2,Z2692078340,2 - R-19 & Y-48 pocket (Chain B only),None
45,D68EV3CPROA-x0957_0A,D68EV3CPROA-x0957,CNc1ccccc1S(=O)(=O)C,CNc1ccccc1S(=O)(=O)C,Z285782452,2 - R-19 & Y-48 pocket (Chain B only),None
46,D68EV3CPROA-x0957_0B,D68EV3CPROA-x0957,CNc1ccccc1S(=O)(=O)C,CNc1ccccc1S(=O)(=O)C,Z285782452,3 - NCS packing interface,None
47,D68EV3CPROA-x0957_1B,D68EV3CPROA-x0957,CNc1ccccc1S(=O)(=O)C,CNc1ccccc1S(=O)(=O)C,Z285782452,4 - C60 both locations,None
48,D68EV3CPROA-x0980_0B,D68EV3CPROA-x0980,Cc1ccc(F)cc1NC(=O)c2ccncc2,Cc1ccc(F)cc1NC(=O)c2ccncc2,Z30904160,2 - R-19 & Y-48 pocket (Chain B only),None
49,D68EV3CPROA-x0988_0A,D68EV3CPROA-x0988,CN1CCN(CC1)C(=O)C2CCCO2,CN1CCN(CC1)C(=O)C2CCCO2,Z31432964,1 - Chain A Catalytic Site C147,None
50,D68EV3CPROA-x1020_0A,D68EV3CPROA-x1020,CCC(=O)Nc1ccc(C)cc1O,CCC(=O)Nc1ccc(C)cc1O,Z33452106,5 - Random locations,None
51,D68EV3CPROA-x1052_0A,D68EV3CPROA-x1052,COC(=O)CNC(=O)c1cc(C)on1,COC(=O)CNC(=O)c1cc(C)on1,Z375990520,1 - Chain A Catalytic Site C147,None
52,D68EV3CPROA-x1052_1A,D68EV3CPROA-x1052,COC(=O)CNC(=O)c1cc(C)on1,COC(=O)CNC(=O)c1cc(C)on1,Z375990520,5 - Random locations,None
53,D68EV3CPROA-x1056_0B,D68EV3CPROA-x1056,O=C(Nc1ccccn1)C2COCCO2,O=C(Nc1ccccn1)C2COCCO2,Z381474098,1 - Chain A Catalytic Site C147,None
54,D68EV3CPROA-x1064_0B,D68EV3CPROA-x1064,NS(=O)(=O)c1ccccc1OC(F)F,NS(=O)(=O)c1ccccc1OC(F)F,Z385450668,2 - R-19 & Y-48 pocket (Chain B only),None
55,D68EV3CPROA-x1064_1B,D68EV3CPROA-x1064,NS(=O)(=O)c1ccccc1OC(F)F,NS(=O)(=O)c1ccccc1OC(F)F,Z385450668,3 - NCS packing interface,None
56,D68EV3CPROA-x1068_0B,D68EV3CPROA-x1068,Cc1ccccc1n2cc(nn2)C(=O)O,Cc1ccccc1n2cc(nn2)C(=O)O,Z401437758,2 - R-19 & Y-48 pocket (Chain B only),None
57,D68EV3CPROA-x1071_0A,D68EV3CPROA-x1071,CS(=O)(=O)NCC(=O)N1CCCCC1,CS(=O)(=O)NCC(=O)N1CCCCC1,Z408255174,5 - Random locations,None
58,D68EV3CPROA-x1083_0A,D68EV3CPROA-x1083,CS(=O)(=O)N1CCC(O)CC1,CS(=O)(=O)N1CCC(O)CC1,Z425757818,2 - R-19 & Y-48 pocket (Chain B only),None
59,D68EV3CPROA-x1084_0A,D68EV3CPROA-x1084,Cl.CS(=O)(=O)Nc1ccc(CN)cc1,Cl.CS(=O)(=O)Nc1ccc(CN)cc1,Z426041412,1 - Chain A Catalytic Site C147,None
60,D68EV3CPROA-x1085_0A,D68EV3CPROA-x1085,Cc1nc(no1)c2ccc(N)cc2,Cc1nc(no1)c2ccc(N)cc2,Z427942110,5 - Random locations,None
61,D68EV3CPROA-x1094_0A,D68EV3CPROA-x1094,Cc1ccc(CNC(=O)C2CCC2)cn1,Cc1ccc(CNC(=O)C2CCC2)cn1,Z437516460,3 - NCS packing interface,None
62,D68EV3CPROA-x1108_0A,D68EV3CPROA-x1108,O=C(Nc1ccccc1)N2CCCC2,O=C(Nc1ccccc1)N2CCCC2,Z44585777,2 - R-19 & Y-48 pocket (Chain B only),None
63,D68EV3CPROA-x1127_0B,D68EV3CPROA-x1127,CC1=NN(C(=O)C1)c2ccccc2,CC1=NN(C(=O)C1)c2ccccc2,Z50145861,2 - R-19 & Y-48 pocket (Chain B only),None
64,D68EV3CPROA-x1133_0B,D68EV3CPROA-x1133,Cc1nc2ccccc2n1CCC(=O)N,Cc1nc2ccccc2n1CCC(=O)N,Z53116498,2 - R-19 & Y-48 pocket (Chain B only),None
65,D68EV3CPROA-x1133_1B,D68EV3CPROA-x1133,Cc1nc2ccccc2n1CCC(=O)N,Cc1nc2ccccc2n1CCC(=O)N,Z53116498,5 - Random locations,None
66,D68EV3CPROA-x1135_0A,D68EV3CPROA-x1135,CCS(=O)(=O)N1CCC(CC1)C(=O)O,CCS(=O)(=O)N1CCC(CC1)C(=O)O,Z53825020,2 - R-19 & Y-48 pocket (Chain B only),None
67,D68EV3CPROA-x1136_0B,D68EV3CPROA-x1136,CCS(=O)(=O)Nc1ccccc1F,CCS(=O)(=O)Nc1ccccc1F,Z53825177,1 - Chain A Catalytic Site C147,None
68,D68EV3CPROA-x1140_0A,D68EV3CPROA-x1140,CCS(=O)(=O)NCc1ccc2OCOc2c1,CCS(=O)(=O)NCc1ccc2OCOc2c1,Z53860899,2 - R-19 & Y-48 pocket (Chain B only),None
69,D68EV3CPROA-x1163_0A,D68EV3CPROA-x1163,N(c1nncs1)c2ccccc2,N(c1nncs1)c2ccccc2,Z56347187,2 - R-19 & Y-48 pocket (Chain B only),None
70,D68EV3CPROA-x1184_0B,D68EV3CPROA-x1184,OC(=O)COc1ccc(F)cc1,OC(=O)COc1ccc(F)cc1,Z56978034,2 - R-19 & Y-48 pocket (Chain B only),None
71,D68EV3CPROA-x1195_0B,D68EV3CPROA-x1195,Cc1ccsc1CNC(C)(C)CO,Cc1ccsc1CNC(C)(C)CO,Z57328552,2 - R-19 & Y-48 pocket (Chain B only),None
72,D68EV3CPROA-x1200_0B,D68EV3CPROA-x1200,CC(CO)(CO)NC(=O)Nc1ccccc1,CC(CO)(CO)NC(=O)Nc1ccccc1,Z57472297,3 - NCS packing interface,None
73,D68EV3CPROA-x1246_0B,D68EV3CPROA-x1246,Nc1ccc(cc1)c2ncno2,Nc1ccc(cc1)c2ncno2,Z760031264,1 - Chain A Catalytic Site C147,None
74,D68EV3CPROA-x1247_0A,D68EV3CPROA-x1247,Cc1cccc(NC(=O)[C@@H]2CCCN2)n1,Cc1cccc(NC(=O)[C@@H]2CCCN2)n1,Z760048004,2 - R-19 & Y-48 pocket (Chain B only),None
75,D68EV3CPROA-x1251_0B,D68EV3CPROA-x1251,CCN1N=C(CC1=O)C(F)(F)F,CCN1N=C(CC1=O)C(F)(F)F,Z802540802,2 - R-19 & Y-48 pocket (Chain B only),None
76,D68EV3CPROA-x1261_0B,D68EV3CPROA-x1261,CS(=O)(=O)CC(O)c1ccccc1,CS(=O)(=O)CC(O)c1ccccc1,Z822382694,2 - R-19 & Y-48 pocket (Chain B only),None
77,D68EV3CPROA-x1262_0B,D68EV3CPROA-x1262,CN(C)C(=O)COc1ccc(N)c(F)c1,CN(C)C(=O)COc1ccc(N)c(F)c1,Z839157334,4 - C60 both locations,None
78,D68EV3CPROA-x1264_0B,D68EV3CPROA-x1264,FC(F)(F)c1ccccc1C(=O)N2CCNC(=O)C2,FC(F)(F)c1ccccc1C(=O)N2CCNC(=O)C2,Z85249949,5 - Random locations,None
79,D68EV3CPROA-x1285_0B,D68EV3CPROA-x1285,OC1CCN(Cc2ccsc2)CC1,OC1CCN(Cc2ccsc2)CC1,Z905434478,2 - R-19 & Y-48 pocket (Chain B only),None
80,D68EV3CPROA-x1285_1B,D68EV3CPROA-x1285,OC1CCN(Cc2ccsc2)CC1,OC1CCN(Cc2ccsc2)CC1,Z905434478,3 - NCS packing interface,None
81,D68EV3CPROA-x1300_0A,D68EV3CPROA-x1300,CCOC(=O)c1cn[nH]c1,CCOC(=O)c1cn[nH]c1,Z975817026,6 - Chain B Catalytic site,None
82,D68EV3CPROA-x1305_0B,D68EV3CPROA-x1305,CC(C)c1nc(no1)C2CCCN2,CC(C)c1nc(no1)C2CCCN2,Z979742720,4 - C60 both locations,None
83,D68EV3CPROA-x1315_0A,D68EV3CPROA-x1315,Cc1nnc2CNCCn12,Cc1nnc2CNCCn12,Z992916756,4 - C60 both locations,None
84,D68EV3CPROA-x1315_0B,D68EV3CPROA-x1315,Cc1nnc2CNCCn12,Cc1nnc2CNCCn12,Z992916756,5 - Random locations,None
85,D68EV3CPROA-x1317_0B,D68EV3CPROA-x1317,CC1CNCCN1CCO,CC1CNCCN1CCO,Z995013488,4 - C60 both locations,None
86,D68EV3CPROA-x1329_0A,D68EV3CPROA-x1329,C[C@H]1N(S(=O)(C)=O)CCC[C@H]1C(NC)=O,C[C@H]1N(S(=O)(C)=O)CCC[C@H]1C(NC)=O,POB0014,5 - Random locations,None
87,D68EV3CPROA-x1332_0A,D68EV3CPROA-x1332,O=C([C@@H]1[C@@H](C2=CC=CC=C2)CN(C(C)=O)C1)O,O=C([C@@H]1[C@@H](C2=CC=CC=C2)CN(C(C)=O)C1)O,POB0066,2 - R-19 & Y-48 pocket (Chain B only),None
88,D68EV3CPROA-x1332_1A,D68EV3CPROA-x1332,O=C([C@@H]1[C@@H](C2=CC=CC=C2)CN(C(C)=O)C1)O,O=C([C@@H]1[C@@H](C2=CC=CC=C2)CN(C(C)=O)C1)O,POB0066,5 - Random locations,None
89,D68EV3CPROA-x1339_0A,D68EV3CPROA-x1339,CC(=O)N1[C@@H](CC[C@@H]1C)C(=O)OC,CC(=O)N1[C@@H](CC[C@@H]1C)C(=O)OC,POB0050,2 - R-19 & Y-48 pocket (Chain B only),None
90,D68EV3CPROA-x1374_0A,D68EV3CPROA-x1374,CC1(C(OC)=O)N(S(=O)(C)=O)CCC1,CC1(C(OC)=O)N(S(=O)(C)=O)CCC1,POB0008,5 - Random locations,None
